cell_id,Cell,Batch,Cell_type,ExpLibSize,Group
Cell1,Cell1,Sample1,Cell_type3,53448.7956893036,Group3
Cell3,Cell3,Sample1,Cell_type3,69735.0340889859,Group3
Cell5,Cell5,Sample1,Cell_type2,69524.100996659,Group2
Cell7,Cell7,Sample1,Cell_type2,60487.2999881559,Group2
Cell9,Cell9,Sample1,Cell_type3,38922.453327924,Group3
Cell11,Cell11,Sample1,Cell_type3,98127.2628760922,Group3
Cell13,Cell13,Sample1,Cell_type3,40170.1661697587,Group3
Cell15,Cell15,Sample1,Cell_type2,73226.3143566788,Group2
Cell17,Cell17,Sample1,Cell_type3,73246.9113843603,Group3
Cell19,Cell19,Sample1,Cell_type2,57850.3356978407,Group2
Cell21,Cell21,Sample1,Cell_type3,82064.9992186066,Group3
Cell23,Cell23,Sample1,Cell_type3,71724.8304638784,Group3
Cell25,Cell25,Sample1,Cell_type1,61327.4988956207,Group1
Cell27,Cell27,Sample1,Cell_type3,61590.4346638215,Group3
Cell29,Cell29,Sample1,Cell_type1,57573.2394798368,Group1
Cell31,Cell31,Sample1,Cell_type2,49414.1981060593,Group2
Cell33,Cell33,Sample1,Cell_type3,82444.919318259,Group3
Cell35,Cell35,Sample1,Cell_type3,66700.2852737006,Group3
Cell37,Cell37,Sample1,Cell_type2,63240.273806261,Group2
Cell39,Cell39,Sample1,Cell_type1,65767.6226309361,Group1
Cell41,Cell41,Sample1,Cell_type3,54447.1752371476,Group3
Cell43,Cell43,Sample1,Cell_type3,46942.8562322561,Group3
Cell45,Cell45,Sample1,Cell_type3,83315.6629443917,Group3
Cell47,Cell47,Sample1,Cell_type3,49226.0467123852,Group3
Cell49,Cell49,Sample1,Cell_type3,59413.6617164354,Group3
Cell51,Cell51,Sample1,Cell_type1,56126.3768841716,Group1
Cell53,Cell53,Sample1,Cell_type1,59377.2500295606,Group1
Cell55,Cell55,Sample1,Cell_type3,78520.5220806418,Group3
Cell57,Cell57,Sample1,Cell_type3,68059.9941641199,Group3
Cell59,Cell59,Sample1,Cell_type3,53749.7117538157,Group3
Cell61,Cell61,Sample1,Cell_type3,61308.8424227013,Group3
Cell63,Cell63,Sample1,Cell_type3,72660.7958921023,Group3
