,X,Y,group,sample,cell_type
0,3.7878471502411584,1.0934994139556198,0,Sample 1,Cell type 1
1,4.995143270768085,0.6707926195613135,0,Sample 1,Cell type 1
2,2.2943580729495485,4.552169029717018,5,Sample 2,Cell type 3
3,-6.436514538104012,-0.2640721533611492,3,Sample 2,Cell type 1
4,-4.497914961950535,-0.22360597063722618,3,Sample 2,Cell type 1
5,6.172519015137244,-0.18062104038922855,0,Sample 1,Cell type 1
6,2.673766350022721,3.9583132397928105,5,Sample 2,Cell type 3
7,1.7867652081163965,4.385890434465617,5,Sample 2,Cell type 3
8,-6.39377735410822,-0.4368334390533764,3,Sample 2,Cell type 1
9,4.711227067344736,0.9274638426913985,0,Sample 1,Cell type 1
10,-4.594383782291715,-0.0459162920592282,3,Sample 2,Cell type 1
11,-4.832423933081782,-0.7876272403855739,3,Sample 2,Cell type 1
12,2.171585213816212,-2.8750081931619356,4,Sample 2,Cell type 2
13,2.5684106637116795,2.957560364011689,5,Sample 2,Cell type 3
14,2.322720244491965,-5.482912326542131,4,Sample 2,Cell type 2
15,-2.3483347067210043,5.130963892975907,1,Sample 1,Cell type 2
16,6.3323795555700615,0.8114960520145044,0,Sample 1,Cell type 1
17,3.5996890140612443,4.61787169707125,5,Sample 2,Cell type 3
18,-5.794871612475229,0.108739653774679,3,Sample 2,Cell type 1
19,-2.7958258050240787,-0.2444884913230421,3,Sample 2,Cell type 1
20,-2.64951692652959,-5.634505613894304,2,Sample 1,Cell type 3
21,4.792766283343438,-0.15707987926798261,0,Sample 1,Cell type 1
22,1.8172036159509233,-4.865676549828988,4,Sample 2,Cell type 2
23,-3.555397755679013,4.167742509005668,1,Sample 1,Cell type 2
24,-3.734241212167719,-4.836331042830223,2,Sample 1,Cell type 3
25,3.408758276755054,-4.453325151080461,4,Sample 2,Cell type 2
26,1.620768620374509,-2.8927948575821816,4,Sample 2,Cell type 2
27,4.465527637085561,0.7936338796292183,0,Sample 1,Cell type 1
28,5.1385447406809455,0.30825390378306944,0,Sample 1,Cell type 1
29,1.7676183767277664,4.431294394170745,5,Sample 2,Cell type 3
30,-5.198892683013342,0.5012909098104573,3,Sample 2,Cell type 1
31,2.0184444464518547,-4.836712136294177,4,Sample 2,Cell type 2
32,4.803405548731244,-0.2181788557981364,0,Sample 1,Cell type 1
33,-5.091712668405114,0.21141461731650985,3,Sample 2,Cell type 1
34,-2.543915200493028,4.558570278808319,1,Sample 1,Cell type 2
35,4.196687386598345,-0.6142380520833028,0,Sample 1,Cell type 1
36,4.747784604287723,0.6071753763946139,0,Sample 1,Cell type 1
37,-4.7038304880466075,0.46745133314824855,3,Sample 2,Cell type 1
38,0.5770651191195721,-3.2161622657357416,4,Sample 2,Cell type 2
39,1.099219540475814,-4.472120525941622,4,Sample 2,Cell type 2
40,-2.0455174358970853,-5.169851418050145,2,Sample 1,Cell type 3
41,4.493747198880546,-4.550224161526232,4,Sample 2,Cell type 2
42,1.4845671158055131,-3.1012016006382392,4,Sample 2,Cell type 2
43,2.312881759637125,4.173252450380643,5,Sample 2,Cell type 3
44,2.280158156197846,-6.091121797682931,4,Sample 2,Cell type 2
45,2.5168741982804703,3.425273230520123,5,Sample 2,Cell type 3
46,3.358343691605878,3.6474074396909035,5,Sample 2,Cell type 3
47,2.1098932632360263,-5.4791301108646895,4,Sample 2,Cell type 2
48,-4.493071180180753,-0.5585597396888391,3,Sample 2,Cell type 1
49,2.70589848513388,3.8254498965644417,5,Sample 2,Cell type 3
50,1.987876434532311,5.517122147085159,5,Sample 2,Cell type 3
51,-2.5391177467792865,-5.454278896365052,2,Sample 1,Cell type 3
52,-1.8742959987748349,-4.962846524256235,2,Sample 1,Cell type 3
