,X,Y,group,sample,cell_type
0,-1.2121528497588419,1.0934994139556198,0,Sample 3,Cell type 1
1,-0.004856729231914659,0.6707926195613135,0,Sample 3,Cell type 1
2,-0.20564192705045176,0.22204201079482538,3,Sample 2,Cell type 1
3,-1.436514538104012,-0.2640721533611498,2,Sample 1,Cell type 1
4,0.5020850380494649,-0.2236059706372268,2,Sample 1,Cell type 1
5,1.1725190151372433,-0.18062104038922855,0,Sample 3,Cell type 1
6,0.17376635002272073,-0.3718137791293822,3,Sample 2,Cell type 1
7,-0.7132347918836038,0.05576341554342418,3,Sample 2,Cell type 1
8,-1.3937773541082201,-0.436833439053377,2,Sample 1,Cell type 1
9,-0.28877293265526394,0.9274638426913985,0,Sample 3,Cell type 1
10,0.4056162177082855,-0.045916292059228814,2,Sample 1,Cell type 1
11,0.16757606691821808,-0.7876272403855745,2,Sample 1,Cell type 1
12,-0.32841478618378406,1.4551188257602599,2,Sample 1,Cell type 1
13,0.06841066371167923,-1.3725666549105036,3,Sample 2,Cell type 1
14,-0.17727975550803146,-1.152785307619935,3,Sample 2,Cell type 1
15,0.15166529327899472,0.800836874053713,0,Sample 3,Cell type 1
16,1.3323795555700615,0.8114960520145044,0,Sample 3,Cell type 1
17,1.0996890140612436,0.28774467814905685,3,Sample 2,Cell type 1
18,-0.794871612475229,0.10873965377467838,2,Sample 1,Cell type 1
19,2.2041741949759213,-0.2444884913230427,2,Sample 1,Cell type 1
20,-0.1495169265295879,-1.3043785949721123,1,Sample 4,Cell type 1
21,-0.2072337166565625,-0.15707987926798261,0,Sample 3,Cell type 1
22,-0.6827963840490733,-0.5355495309067924,3,Sample 2,Cell type 1
23,-1.055397755679014,-0.16238450991652567,1,Sample 4,Cell type 1
24,-1.2342412121677169,-0.5062040239080313,1,Sample 4,Cell type 1
25,0.9087582767550576,-0.12319813215826536,3,Sample 2,Cell type 1
26,-0.8792313796254874,1.4373321613400138,3,Sample 2,Cell type 1
27,-0.534472362914439,0.7936338796292183,0,Sample 3,Cell type 1
28,0.1385447406809456,0.30825390378306944,0,Sample 3,Cell type 1
29,-0.732381623272234,0.10116737524855204,3,Sample 2,Cell type 1
