,X,Y,group,sample,cell_type
0,5.147067613058003,2.1544269311843975,1,Sample 1,Cell type 2
1,-3.494380402819973,1.0763360369239823,0,Sample 1,Cell type 1
2,-6.134692586346425,-1.4086470495846208,0,Sample 1,Cell type 1
3,6.010965342123735,-0.6770527819725887,1,Sample 1,Cell type 2
4,-5.521468886241728,0.037918937053131214,0,Sample 1,Cell type 1
5,5.057002999928714,-1.0348061001632767,1,Sample 1,Cell type 2
6,-5.022011924040509,1.4178012773357953,0,Sample 1,Cell type 1
7,5.114439015903162,0.6796895908129705,1,Sample 1,Cell type 2
8,5.831289429936215,-0.06061142922836791,1,Sample 1,Cell type 2
9,5.809170428326685,1.073180732424705,1,Sample 1,Cell type 2
10,-4.553338469982622,0.060804313129929205,0,Sample 1,Cell type 1
11,-4.705061352901679,-0.31467104986188854,0,Sample 1,Cell type 1
12,6.250311014806559,-0.21919446546344337,1,Sample 1,Cell type 2
13,-5.413830760080298,1.127477952148464,0,Sample 1,Cell type 1
14,4.460052784967559,-0.32246079125202465,1,Sample 1,Cell type 2
15,4.734953293453342,-0.4897893876062003,1,Sample 1,Cell type 2
16,4.6055017420801825,1.1549056027750513,1,Sample 1,Cell type 2
17,4.19822638485862,-0.601948189882428,1,Sample 1,Cell type 2
18,-4.367174442365562,-0.7275099638357911,0,Sample 1,Cell type 1
19,5.408633670822076,0.8244644684992459,1,Sample 1,Cell type 2
20,5.404471393468699,1.1912904866626317,1,Sample 1,Cell type 2
21,5.081485036209589,1.2392161211961499,1,Sample 1,Cell type 2
22,4.5985726457507745,-1.0979724383072806,1,Sample 1,Cell type 2
23,-4.224434239578611,0.3417554894973479,0,Sample 1,Cell type 1
24,-5.419616213023819,0.39149964898233447,0,Sample 1,Cell type 1
25,-6.346750553776761,-0.644696053196951,0,Sample 1,Cell type 1
26,4.713327878383022,-0.5180334445081274,1,Sample 1,Cell type 2
27,-5.566725413528371,-1.2109715140902617,0,Sample 1,Cell type 1
28,6.060345687276063,-1.1254520075980305,1,Sample 1,Cell type 2
29,-3.4923309552523127,1.2345948226177512,0,Sample 1,Cell type 1
30,-4.945715591578077,0.6822189400977756,0,Sample 1,Cell type 1
31,4.424934089913016,0.5960042503018249,1,Sample 1,Cell type 2
32,5.884720339485847,-0.4511579904465946,1,Sample 1,Cell type 2
33,-5.499015168556644,1.531225083093429,0,Sample 1,Cell type 1
34,-5.187322699778669,-0.18730956555934444,0,Sample 1,Cell type 1
