,X,Y,group,sample,cell_type
0,1.1647116354803337,-0.892374336994169,4,Sample 2,Cell type 2
1,-0.5000386182919765,-0.8268178603374849,1,Sample 2,Cell type 1
2,1.5717962756945856,-0.10590057197356803,3,Sample 1,Cell type 2
3,-2.171429184522998,-1.6677166346078123,2,Sample 3,Cell type 1
4,-0.44058529912955424,-0.3326493024392706,0,Sample 1,Cell type 1
5,0.022827060296605528,0.026816548609281992,3,Sample 1,Cell type 2
6,-0.5192308926779103,-0.540673137574711,4,Sample 2,Cell type 2
7,2.124739378165887,-0.9508473635627341,3,Sample 1,Cell type 2
8,1.8161507317356338,-1.3066512706515916,5,Sample 3,Cell type 2
9,-1.8066993927328556,0.19737210348039247,2,Sample 3,Cell type 1
10,1.1085712848041087,0.9396226164981417,4,Sample 2,Cell type 2
11,-0.5738752908682944,-0.2408769818089142,1,Sample 2,Cell type 1
12,-0.16644020722152275,1.7184749764231175,0,Sample 1,Cell type 1
13,-0.6691156363077206,-1.8900238568864616,1,Sample 2,Cell type 1
14,-1.586652497021943,0.042658804184772615,0,Sample 1,Cell type 1
15,0.8824820884343458,0.41519764173187956,5,Sample 3,Cell type 2
16,0.45763812584689834,0.0016047369941480118,3,Sample 1,Cell type 2
17,1.4489948752913915,-0.307933786014515,3,Sample 1,Cell type 2
18,1.4216781312146116,0.13704243822675002,5,Sample 3,Cell type 2
19,-0.4064938829977496,-0.7235535732547329,2,Sample 3,Cell type 1
20,0.45488800005778174,-0.028838133612438182,3,Sample 1,Cell type 2
21,1.0745783576820964,0.4260030079994704,5,Sample 3,Cell type 2
22,-1.6830736290130104,-0.8808667526787894,2,Sample 3,Cell type 1
23,-1.9335215388938107,-0.17130481027524738,0,Sample 1,Cell type 1
24,0.11122933381570477,0.6671878352171229,4,Sample 2,Cell type 2
25,0.18747196573348013,0.7283382284177872,3,Sample 1,Cell type 2
26,1.9379715192847156,0.2099565369790848,5,Sample 3,Cell type 2
27,0.35812692607048047,0.20367378697062097,5,Sample 3,Cell type 2
28,2.3098612039535724,-0.5292166671332703,5,Sample 3,Cell type 2
29,-0.8154321946888331,-1.461044276947119,2,Sample 3,Cell type 1
30,-0.3105277494537787,1.1042399014958768,0,Sample 1,Cell type 1
31,0.0507659905306721,-0.06050727647651813,3,Sample 1,Cell type 2
32,-1.9806697336081496,-0.7062857173149331,1,Sample 2,Cell type 1
33,-0.07070841609250833,1.014034623144825,0,Sample 1,Cell type 1
34,0.3987443786432967,0.7685783788970013,1,Sample 2,Cell type 1
35,0.6748928263770644,0.1102418328370092,5,Sample 3,Cell type 2
36,0.5825310134446489,-0.9883677454003349,4,Sample 2,Cell type 2
37,2.1602186518937003,0.5907659089409749,5,Sample 3,Cell type 2
38,-0.9292283287155185,-1.7983806160788969,0,Sample 1,Cell type 1
39,-2.446894924406253,0.16626652100615202,1,Sample 2,Cell type 1
40,-0.8217237153089305,-0.12992437073154822,0,Sample 1,Cell type 1
41,1.2386475304719287,-0.5840986684258419,4,Sample 2,Cell type 2
42,1.0480458452311197,0.5652926728503345,5,Sample 3,Cell type 2
43,-0.5801092196948857,1.2116031805824734,1,Sample 2,Cell type 1
44,-0.1453648857719606,-0.05347366314524469,1,Sample 2,Cell type 1
45,-0.7015170995868135,-0.9424418118212381,2,Sample 3,Cell type 1
46,0.8819997951875655,-0.5197808376172915,4,Sample 2,Cell type 2
47,3.5019672618012003,-0.934192219490307,3,Sample 1,Cell type 2
48,0.35982709574546856,0.10541179453486621,3,Sample 1,Cell type 2
49,1.297780325565716,0.6747899656402666,4,Sample 2,Cell type 2
50,1.9187836726352598,2.0771246255544997,1,Sample 2,Cell type 1
51,-0.6314551685658287,-0.9292799485884695,5,Sample 3,Cell type 2
52,-1.617444781331662,-0.5554910219831655,2,Sample 3,Cell type 1
53,1.0972127088815509,-0.8159836906388636,3,Sample 1,Cell type 2
54,-0.04741796183537095,-1.582865537780803,0,Sample 1,Cell type 1
55,-0.480635085537514,-0.18274084743869343,0,Sample 1,Cell type 1
56,-1.7611057940447017,-0.01268906931600442,2,Sample 3,Cell type 1
57,1.1674837187883418,1.1666310387732017,5,Sample 3,Cell type 2
58,-1.136770644084435,0.954129436804143,2,Sample 3,Cell type 1
59,-1.5303990082846257,-0.41277477249097605,2,Sample 3,Cell type 1
60,0.9342034281919553,-0.7116938271768183,3,Sample 1,Cell type 2
61,-1.375687343790489,0.30964852940711984,2,Sample 3,Cell type 1
62,-1.5485609819433548,-0.16827417268690142,0,Sample 1,Cell type 1
63,-1.3509313359035007,0.14224814092811866,1,Sample 2,Cell type 1
64,1.1565524875715303,-0.5563575378901521,4,Sample 2,Cell type 2
65,2.475330865067577,-1.7304945948561028,3,Sample 1,Cell type 2
66,-2.0580351450623664,-0.8055628580489442,1,Sample 2,Cell type 1
67,-2.2159669295872195,-1.1902121610692131,1,Sample 2,Cell type 1
68,-1.5619108507419017,-0.1660728218902646,1,Sample 2,Cell type 1
69,-0.5913179294360464,2.6935295130545773,4,Sample 2,Cell type 2
70,-0.14963402019555616,0.8198163315303744,5,Sample 3,Cell type 2
71,0.5239014272171857,-0.9681629835974502,3,Sample 1,Cell type 2
72,-2.6228257086303506,-1.4257223487049409,0,Sample 1,Cell type 1
73,-2.007591515544852,-0.35417687037275597,1,Sample 2,Cell type 1
74,1.1915419588029719,-0.00931706091696302,4,Sample 2,Cell type 2
75,0.14084370824494585,0.4663970554008704,3,Sample 1,Cell type 2
76,2.70595661139222,-0.13529553638733893,5,Sample 3,Cell type 2
77,0.5029140539162658,0.355204376840683,0,Sample 1,Cell type 1
78,0.2546374925138427,0.6170907532623399,4,Sample 2,Cell type 2
79,-0.661231426512235,-0.8118463989217594,1,Sample 2,Cell type 1
80,-0.12003780489997906,0.40484449235385894,3,Sample 1,Cell type 2
81,0.30444964219993254,-0.10259689755566372,5,Sample 3,Cell type 2
82,1.9911971484005955,0.6447060724863696,3,Sample 1,Cell type 2
83,-0.12748851952593687,0.38447492568451636,0,Sample 1,Cell type 1
84,-2.911506151878826,-0.47317951951268494,0,Sample 1,Cell type 1
85,-1.0124539714848135,-0.6207549966577565,1,Sample 2,Cell type 1
86,0.7060475974049086,1.786842355734264,4,Sample 2,Cell type 2
87,-0.23516876380517626,-0.275069198166116,4,Sample 2,Cell type 2
88,-0.974513461482585,0.02678052554617067,0,Sample 1,Cell type 1
89,-0.06287523529794714,-1.0365129981309091,3,Sample 1,Cell type 2
90,1.40573110269862,0.1887174572170393,5,Sample 3,Cell type 2
91,-0.9497224541399527,-0.27868474258925513,2,Sample 3,Cell type 1
92,-0.15594833246526285,1.328291235453569,3,Sample 1,Cell type 2
93,1.99402993345372,-0.11444273718739587,5,Sample 3,Cell type 2
