,Overcorrected,None,Mild,Intermediate,Strong
asw_batch,0.9932500855014198,0.99303756511528,0.9932133257185924,0.993096112865221,0.9948650603232839
asw_batch_cosine,0.9901541344960593,0.9898772881997969,0.9898342927543206,0.9903266662594149,0.9906364249713491
asw_batch_mean_other,0.9945985619361158,0.9948116657204786,0.98204607720006,0.9628767024016941,0.9378039435089812
asw_batch_mean_other_cosine,0.992677950877085,0.9921658128453917,0.9642750316889835,0.9254860436231422,0.8761571968121639
asw_batch_furthest,0.9928045840919887,0.9931985086585334,0.9708994176404925,0.9425322497137943,0.9077781264103238
asw_batch_furthest_cosine,0.9904850080796438,0.9894797187413493,0.9439658967853543,0.8887369884955324,0.8222803642171884
iLISI_batch,0.7793340021001883,0.7802326355296031,0.7006927235203176,0.48935478292491014,0.3345646219646777
cLISI_full,0.29160924728624327,0.7211691777839301,0.7387146340239366,0.8344510631778816,0.7871529231335644
CiLISI_batch,0.7765945344129875,0.7831592128953373,0.7061507633600322,0.4967752156764103,0.3383855486650304
asw_label,0.49838771123904735,0.523401191458106,0.523963201791048,0.5248271636664867,0.5233693197369576
asw_label_cosine,0.4988350479397923,0.5423207208514214,0.5471168756484985,0.5458122864365578,0.5436984077095985
nmi,0.006532235897659844,0.8087778597910067,0.8020310687979271,0.799670227643585,0.5703908917676846
ari,0.0002920510835599603,0.8911683087317654,0.7739705896961654,0.7733679063133365,0.45094635819234613
