,Liam_x1,Liam_x5,naiveIntegration,noIntegration
asw_batch,0.8660638128427319,0.8663005447904291,0.9190644400978382,0.8859038292330378
asw_batch_cosine,0.7437761610194961,0.7363492910306096,0.835328864336255,0.785147929891756
asw_batch_mean_other,0.8752509274820297,0.888190324203352,0.8614973998641503,0.7565435349136789
asw_batch_mean_other_cosine,0.7753353628570928,0.7918499044549285,0.7485464602993492,0.6066755384166337
asw_batch_furthest,0.7567280384729217,0.7688931602437783,0.7568088092338555,0.5899699101034915
asw_batch_furthest_cosine,0.5928424617064583,0.6045601084404363,0.5837808438402732,0.4235435636195407
iLISI_batch,0.2851534564747203,0.3294299961193788,0.1514994607629011,0.0684987829943414
cLISI_full,0.994198844634162,0.9932175519927104,0.9891611644352766,0.9923669427866542
CiLISI_batch,0.2615063327168626,0.3038799157247764,0.1360042244325356,0.061341127854472
asw_label,0.597837969660759,0.5947331711649895,0.5495780222117901,0.5468306988477707
asw_label_cosine,0.6627948582172394,0.6591290980577469,0.590208001434803,0.5762457549571991
nmi,0.78753918563055,0.7769680756609653,0.7841269467911921,0.6704919964515159
ari,0.7186485903999628,0.6976782941296699,0.6883018339352215,0.3993524721209508
