,integration_hbca,noIntegration_hbca,naiveIntegration_donor_id_hbca
asw_batch,0.8469025492668152,0.8789973258972168,0.8684762120246887
asw_batch_cosine,0.7124528884887695,0.769370436668396,0.7830682992935181
bras,0.8649007678031921,0.6948689818382263,0.765132486820221
bras_euclidean,0.9239136576652527,0.8036336898803711,0.8432347178459167
bras_furthest,0.6801682710647583,0.453299343585968,0.5487765073776245
bras_furthest_euclidean,0.8097008466720581,0.5253830552101135,0.640060544013977
asw_label,0.6761982440948486,0.6055987998843193,0.627096951007843
asw_label_cosine,0.7941677570343018,0.6712269186973572,0.714132696390152
iLISI_batch,0.3148051695939328,0.11378166619066717,0.19054869742418815
cLISI_full,1.0,0.9995116665564966,0.9999999999999998
CiLISI_batch,0.3126976566587686,0.11835395120461559,0.19039630033124205
nmi,0.9537640675504565,0.7894615074336462,0.8524121275949392
ari,0.9677410289521122,0.7786674294249165,0.8723411315863281
