,integration_hlca,noIntegration_hlca,naiveIntegration_donor_id_hlca,naiveIntegration_assay_hlca,naiveIntegration_dataset_hlca
asw_batch,0.9043705463409424,0.8432729840278625,0.8775888085365295,0.8787218332290649,0.8775978684425354
asw_batch_cosine,0.8215500712394714,0.7253527641296387,0.7765161991119385,0.7791377305984497,0.775800347328186
bras,0.8021070957183838,0.544984757900238,0.6486334800720215,0.6412179470062256,0.6526172161102295
bras_euclidean,0.8816208839416504,0.7228286266326904,0.7969406843185425,0.7925415635108948,0.7989806532859802
bras_furthest,0.5714266300201416,0.32036292552948,0.33300673961639404,0.3419300317764282,0.33677905797958374
bras_furthest_euclidean,0.7205159068107605,0.5539469122886658,0.5761313438415527,0.5838686227798462,0.5795461535453796
asw_label,0.553341444581747,0.5377326682209969,0.5542498528957367,0.5511455982923508,0.5532647222280502
asw_label_cosine,0.5609275586903095,0.5733718723058701,0.6061490923166275,0.6024317368865013,0.605213575065136
iLISI_batch,0.050679652701119036,3.416070845000482e-17,0.005302042207208791,0.004693073360812048,0.0076426325918112535
cLISI_full,0.9997725435341536,0.9996232501587489,0.9997465467859297,0.9996379771741193,0.9997110291894241
CiLISI_batch,0.05161705300901935,0.0005129951312252935,0.008786092310763046,0.007047939545001744,0.011497512079642698
nmi,0.8472850276494821,0.6567883378601632,0.7599158440358366,0.7618297564892131,0.7767787028653768
ari,0.7321532978935122,0.3205043679139764,0.5182267943444587,0.5120815164451463,0.5953164833337615
