,Liam_x1_minimal_example,Liam_x5_minimal_example,naiveIntegration_minimal_example,noIntegration_minimal_example
asw_batch,0.8886659000508172,0.9042403033335951,0.9146727691106051,0.8577293555727715
asw_batch_cosine,0.7907010578375852,0.8190814160542285,0.8405530335115636,0.7630721934802545
asw_batch_mean_other,0.8891001768890955,0.9085671855175457,0.8656159750344382,0.7574143627605774
asw_batch_mean_other_cosine,0.8081909854722741,0.8375891050392236,0.7525845127558385,0.6187117335246015
asw_batch_furthest,0.8306500093795958,0.8524317744957409,0.8074248622314121,0.6613920949344624
asw_batch_furthest_cosine,0.7278316926430543,0.7577982580537997,0.6625254028404279,0.5117136256708343
iLISI_batch,0.42294033877929643,0.4904245391114159,0.214593497109926,0.09827051597167709
cLISI_full,0.9941882554682338,0.9922979847479755,0.9876651988953595,0.9882270565537413
CiLISI_batch,0.3828981820660082,0.4213337278714912,0.17891088921861542,0.08838197205618696
asw_label,0.5951083600521088,0.5803585574030876,0.54186687245965,0.5434573441743851
asw_label_cosine,0.6380074918270111,0.6340952664613724,0.5735405087471008,0.5649933442473412
nmi,0.7523749316406145,0.7306298795866897,0.725525820576142,0.686003422233911
ari,0.5803050483640226,0.6193415015149684,0.4771397529207914,0.43670489892318476
